Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
,,,,,,You shall not make an idol,,,
,,,,,, You shall have no other gods before me.,,,1
,,,,,,,,,
SingleQuestion,Which of the following is Not true about the people of Israel?,,CRS,0,0,,1,0,
,,,,,,they will be sinful like other nations,,,1
,,,,,,they will only obey God,,,
,,,,,,they will make other nations know God,,,
,,,,,,the people will be God’s people,,,
,,,,,,,,,
SingleQuestion,On which mountain did God give the ten commandment? _____.,,CRS,0,0,,1,0,
,,,,,,Carmel,,,
,,,,,,Ararat,,,
,,,,,,Sinai,,,1
,,,,,,Ephraim,,,
,,,,,,,,,
SingleQuestion,The following are benefits of obeying God’s call except: we,,CRS,0,0,,1,0,
,,,,,,Get blessings and wealth,,,
,,,,,,Get promotion,,,
,,,,,,Have a privileged position with God,,,
,,,,,,Get abandoned and punished.,,,1
,,,,,,,,,
SingleQuestion,"According to 1 Samuel 3:10b, Samuel said, “Speak, for thy servant __________”.  ",,CRS,0,0,,1,0,
,,,,,,believes,,,
,,,,,,is watching,,,
,,,,,,hears,,,1
,,,,,,is busy,,,
