Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
,,,,,,,,,
SingleQuestion,"The ability to put up with somebody or something, or accepting the views of other people and being fair to them is ____.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,consistency,,,
,,,,,,love,,,
,,,,,,tolerance,,,1
,,,,,,obligation,,,
,,,,,,trust,,,
,,,,,,,,,
SingleQuestion,"A calm and quiet state free from war, conflict, disturbances or noise is known as __________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,justice,,,
,,,,,,shutting up,,,
,,,,,,self-discipline,,,
,,,,,,peace,,,1
,,,,,,regularity,,,
,,,,,,,,,
SingleQuestion,Growth and development of a society can be hindered by ________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,good leadership,,,
,,,,,,love,,,
,,,,,,tolerance,,,
,,,,,,discipline,,,
,,,,,,greed,,,1
,,,,,,,,,
SingleQuestion,When a country is free from colonial rule it is said to have attained ____________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,joy,,,
,,,,,,tolerance,,,
,,,,,,employment,,,
,,,,,,indirect rule,,,
,,,,,,independence,,,1
,,,,,,,,,
SingleQuestion,"Nigeria gained freedom from British colonial rule on 1st October, _______.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,1940,,,
,,,,,,1900,,,
,,,,,,1919,,,
,,,,,,1970,,,
,,,,,,1960,,,1
,,,,,,,,,
SingleQuestion,The National anthem of Nigeria has _______ stanzas.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,1,,,
,,,,,,2,,,1
,,,,,,3,,,
,,,,,,4,,,
,,,,,,5,,,
,,,,,,,,,
SingleQuestion,Which of the following is not a common crime?,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,falsehood,,,
,,,,,,certificate forgery,,,
,,,,,,examination malpractice,,,
,,,,,,sales of fake drugs,,,
,,,,,,adherence to rules and regulations,,,1
,,,,,,,,,
SingleQuestion,Telling lies is called __________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,murder,,,
,,,,,,smartness,,,
,,,,,,stealing,,,
,,,,,,legitimate business,,,
,,,,,,falsehood,,,1
,,,,,,,,,
SingleQuestion,Lying under oath is called ______.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,Judiciary,,,
,,,,,,robbery,,,
,,,,,,perjury,,,1
,,,,,,glossary,,,
,,,,,,theft,,,
,,,,,,,,,
SingleQuestion,The practice of taking what does not belong to you without the consent of the owner is called _____.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,sales of fake drugs,,,
,,,,,,419,,,
,,,,,,forgery,,,
,,,,,,stealing,,,1
,,,,,,murder,,,
,,,,,,,,,
SingleQuestion,"Pick pocketing, shoplifting and bag snatching are examples of ______.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,obedience ,,,
,,,,,,stealing,,,1
,,,,,,certificate forgery,,,
,,,,,,kidnapping,,,
,,,,,,examination malpractice,,,
,,,,,,,,,
SingleQuestion,The act of forcefully having sex with someone or without their consent is called __________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,lies,,,
,,,,,,kidnapping,,,
,,,,,,human trafficking,,,
,,,,,,rape,,,1
,,,,,,impersonation,,,
,,,,,,,,,
SingleQuestion,Deliberately killing another person without justification is called ___________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,murderer,,,
,,,,,,ritualist,,,
,,,,,,advance fee fraud,,,
,,,,,,murder,,,1
,,,,,,certificate forgery,,,
,,,,,,,,,
SingleQuestion,Killing someone unintentionally is called ____.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,slaughter,,,
,,,,,,firing squad,,,
,,,,,,manslaughter,,,1
,,,,,,yahoo yahoo boys,,,
,,,,,,death,,,
,,,,,,,,,
SingleQuestion,Killing someone intentionally is punishable under the law by _____ in many countries.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,death,,,1
,,,,,,one-day imprisonment,,,
,,,,,,two hours’ imprisonment with hard labour,,,
,,,,,,flogging,,,
,,,,,,booing,,,
,,,,,,,,,
SingleQuestion,"Fraudsters use lies, forgery and _______ to carry out their bad acts.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,honesty,,,
,,,,,,truthfulness,,,
,,,,,,impersonation,,,1
,,,,,,obedience,,,
,,,,,,cooperation,,,
,,,,,,,,,
SingleQuestion,"A common form of fraud is internet fraud, popularly called 419 or _____ in Nigeria.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,bank transaction,,,
,,,,,,robbery,,,
,,,,,,theft,,,
,,,,,,yahoo yahoo boys,,,1
,,,,,,tricksters,,,
,,,,,,,,,
SingleQuestion,Dealing in fake drugs have led to the death of _____________ people.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,two,,,
,,,,,,three,,,
,,,,,,four,,,
,,,,,,a few,,,
,,,,,,many,,,1
,,,,,,,,,
SingleQuestion,"The act of breaking into a house, factory, office, etc. usually with the aim of stealing is called ___________.",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,demolition,,,
,,,,,,breakage,,,
,,,,,,burger,,,
,,,,,,leakage,,,
,,,,,,burglary,,,1
,,,,,,,,,
SingleQuestion,The illegal efforts aimed at passing examinations is called _________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,trafficking,,,
,,,,,,noise making,,,
,,,,,,manslaughter,,,
,,,,,,examination malpractice,,,1
,,,,,,cooperation,,,
,,,,,,,,,
SingleQuestion,"Unauthorized objects into the examination hall, copying from other candidates and impersonation are all examples of",,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,burglary,,,
,,,,,,dealing in fake drugs,,,
,,,,,,advance fee fraud,,,
,,,,,,kidnapping,,,
,,,,,,examination malpractices,,,1
,,,,,,,,,
SingleQuestion,Which of the following includes all illegal efforts aimed at winning elections?,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,impersonation,,,
,,,,,,rape,,,
,,,,,,kidnapping,,,
,,,,,,electoral malpractice,,,1
,,,,,,smuggling,,,
,,,,,,,,,
SingleQuestion,The illegal seizure and detention of people is called ___________.,,CIVIC & SECURITY EDUCATION,0,0,,0.5,0,
,,,,,,smuggling,,,
,,,,,,corruption,,,
,,,,,,assault,,,
,,,,,,drug trafficking,,,
,,,,,,kidnapping.,,,1
