Type,Question,Note,Subject,Randomize,View,Answers,Score,Penalty,Correct
,,,,,,sand,,,
,,,,,,animals,,,1
,,,,,,trees,,,
,,,,,,,,,
SingleQuestion,"During the 4th plague, great swarm of ______ were sent to Pharaoh and his people.",,CRS,0,0,,0.5,0,
,,,,,,flies,,,1
,,,,,,chicken,,,
,,,,,,praying mantis,,,
,,,,,,butterflies,,,
,,,,,,fish,,,
,,,,,,,,,
SingleQuestion,"During the 7th plague, thunder, _____ and hail rained from heaven and crops were spoiled.",,CRS,0,0,,0.5,0,
,,,,,,lightning,,,1
,,,,,,darkness,,,
,,,,,,sunshine,,,
,,,,,,heat,,,
,,,,,,stones,,,
,,,,,,,,,
SingleQuestion,Moses led the ______out of slavery in Egypt.,,CRS,0,0,,0.5,0,
,,,,,,Egyptians,,,
,,,,,,Israelites,,,1
,,,,,,Nigerians,,,
,,,,,,Ethiopians ,,,
,,,,,,Germans,,,
,,,,,,,,,
SingleQuestion,God provided for Adam and Eve in the Garden of ________.  He also provides for our needs.,,CRS,0,0,,0.5,0,
,,,,,,Nineveh,,,
,,,,,,Eden,,,1
,,,,,,Nazareth,,,
,,,,,,Jerusalem,,,
,,,,,,Gethsemane,,,
,,,,,,,,,
SingleQuestion,Creation was completed by God in ____.,,CRS,0,0,,0.5,0,
,,,,,,seven days,,,
,,,,,,six days,,,1
,,,,,,eight days,,,
,,,,,,five days,,,
,,,,,,two days,,,
,,,,,,,,,
SingleQuestion,The creature that God loves most is ___.,,CRS,0,0,,0.5,0,
,,,,,,angel,,,
,,,,,,man,,,1
,,,,,,serpent,,,
,,,,,,fish,,,
,,,,,,crocodile,,,
,,,,,,,,,
SingleQuestion,God wants us to ________.,,CRS,0,0,,0.5,0,
,,,,,,know him,,,
,,,,,,serve him,,,
,,,,,,love him,,,
,,,,,,worship him ,,,
,,,,,,all of the above,,,1
,,,,,,,,,
SingleQuestion,God gave man the authority to ________.,,CRS,0,0,,0.5,0,
,,,,,,eat every fruit in the Garden of Eden,,,
,,,,,,create his own world,,,
,,,,,,increase and multiply,,,1
,,,,,,behave the way he likes,,,
,,,,,,make another man with the use of dust,,,
,,,,,,,,,
SingleQuestion,He created man on the ____ day.,,CRS,0,0,,0.5,0,
,,,,,,1st ,,,
,,,,,,4th,,,
,,,,,,7th,,,
,,,,,,6th,,,1
,,,,,,2nd,,,
,,,,,,,,,
SingleQuestion,"How does man obey God’s instruction to ‘be fruitful and multiply, and fill the earth and subdue it…’? Through ____.",,CRS,0,0,,0.5,0,
,,,,,,marriage ,,,1
,,,,,,hard work,,,
,,,,,,stealing ,,,
,,,,,,laziness ,,,
,,,,,,eating more fruits,,,
,,,,,,,,,
SingleQuestion,Man was given some ______ by God to work with.,,CRS,0,0,,0.5,0,
,,,,,,angels,,,
,,,,,,trees,,,
,,,,,,plants,,,
,,,,,,weapons,,,
,,,,,,intelligence,,,1
,,,,,,,,,
SingleQuestion,Man was made from the __ of the ground.,,CRS,0,0,,0.5,0,
,,,,,,trees,,,
,,,,,,dust,,,1
,,,,,,stones,,,
,,,,,,diamonds,,,
,,,,,,waters,,,
,,,,,,,,,
SingleQuestion,God breathed into man’s ___ the breath of life and man became a living being.,,CRS,0,0,,0.5,0,
,,,,,,hands,,,
,,,,,,palms,,,
,,,,,,legs,,,
,,,,,,ears,,,
,,,,,,nostrils,,,1
,,,,,,,,,
SingleQuestion,"With the use of ___ taken from man, God created woman.",,CRS,0,0,,0.5,0,
,,,,,,ribs,,,
,,,,,,a rib,,,1
,,,,,,an eye,,,
,,,,,,a leg,,,
,,,,,,the skin,,,
,,,,,,,,,
SingleQuestion,"When he saw the woman created by God, Adam said, “this at last is the bone of my ___ and flesh of my ___; she shall be called woman, because she was taken out of man.”",,CRS,0,0,,0.5,0,
,,,,,,bone/flesh,,,
,,,,,,flesh/bone,,,
,,,,,,bone/bone,,,1
,,,,,,hand/bone,,,
,,,,,,flesh/ear,,,
,,,,,,,,,
SingleQuestion,God’s creations are for man’s ______.,,CRS,0,0,,0.5,0,
,,,,,,suffering,,,
,,,,,,pleasure,,,1
,,,,,,shame,,,
,,,,,,fall,,,
,,,,,,destruction,,,
,,,,,,,,,
SingleQuestion,One of the things made by man is ____.,,CRS,0,0,,0.5,0,
,,,,,,trees,,,
,,,,,,river,,,
,,,,,,beverages,,,1
,,,,,,sky,,,
,,,,,,dry land,,,
,,,,,,,,,
SingleQuestion,The first clothes made by man was made out of ________.,,CRS,0,0,,0.5,0,
,,,,,,snow,,,
,,,,,,dust,,,
,,,,,,skin,,,
,,,,,,green leaves,,,1
,,,,,,water,,,
,,,,,,,,,
SingleQuestion,God made a clothing for man and woman with the use of ________.,,CRS,0,0,,0.5,0,
,,,,,,dry leaves,,,
,,,,,,trees,,,
,,,,,,dust of the ground,,,
,,,,,,polythene bags,,,
,,,,,,animal skin,,,1
,,,,,,,,,
SingleQuestion,Shoes can be made from ________.,,CRS,0,0,,0.5,0,
,,,,,,Insects,,,
,,,,,,Animal skin,,,1
,,,,,,Sand,,,
,,,,,,Wind,,,
,,,,,,Water,,,
,,,,,,,,,
SingleQuestion,God declared the Sabbath day ________.,,CRS,0,0,,0.5,0,
,,,,,,holy,,,1
,,,,,,public holiday,,,
,,,,,,national day,,,
,,,,,,mid-term break,,,
,,,,,,Christmas day,,,
,,,,,,,,,
SingleQuestion,Day and night were created on the,,CRS,0,0,,0.5,0,
,,,,,,1st day of creation,,,1
,,,,,,2nd day of creation,,,
,,,,,,3rd day of creation,,,
,,,,,,4th day of creation,,,
,,,,,,5th day of creation,,,
,,,,,,,,,
SingleQuestion,The firmament refers to the ________.,,CRS,0,0,,0.5,0,
,,,,,,heavens or sky,,,1
,,,,,,earth,,,
,,,,,,light,,,
,,,,,,day and night,,,
,,,,,,stars and moon,,,
,,,,,,,,,
SingleQuestion,God provided the Israelites with manna when they were in ________.,,CRS,0,0,,0.5,0,
,,,,,,the Promised Land,,,
,,,,,,the land of Egypt,,,
,,,,,,the desert,,,1
,,,,,,Pharaoh’s palace,,,
,,,,,,Nigeria,,,
,,,,,,,,,
SingleQuestion,All the Egyptians that went after the Israelites ______ in the Red Sea.,,CRS,0,0,,0.5,0,
,,,,,,danced   ,,,
,,,,,,sang    ,,,
,,,,,,perished   ,,,1
,,,,,,played,,,
,,,,,,ate good food,,,
,,,,,,,,,
SingleQuestion,The parents of Moses were ________.,,CRS,0,0,,0.5,0,
,,,,,,Amram and Jochabed ,,,1
,,,,,,David and Abigail,,,
,,,,,,Joseph and Mary                       ,,,
,,,,,,Abraham and Sarah,,,
,,,,,,Solomon and Bathsheba,,,
,,,,,,,,,
SingleQuestion,For how long was Moses hidden after his birth?,,CRS,0,0,,0.5,0,
,,,,,,3 months,,,1
,,,,,,6 nights,,,
,,,,,,9 years,,,
,,,,,,10 days,,,
,,,,,,2 weeks,,,
,,,,,,,,,
SingleQuestion,The elder sister of Moses is called _____.,,CRS,0,0,,0.5,0,
,,,,,,Marvellous,,,
,,,,,,Mariana,,,
,,,,,,Marimar,,,
,,,,,,Mary,,,
,,,,,,Miriam,,,1
,,,,,,,,,
SingleQuestion,"Psalm 46:1 says, ‘God is our refuge and ____, a very present help in trouble’.",,CRS,0,0,,0.5,0,
,,,,,,struggle,,,
,,,,,,weakness,,,
,,,,,,strength,,,1
,,,,,,discouragement,,,
,,,,,,joy ,,,
,,,,,,,,,
SingleQuestion,Moses’ elder brother is called ________.,,CRS,0,0,,0.5,0,
,,,,,,Barnabas,,,
,,,,,,Jesus,,,
,,,,,,Aaron,,,1
,,,,,,Miriam,,,
,,,,,,Pharaoh,,,
,,,,,,,,,
SingleQuestion,Daniel was thrown into the den of ___ but God protected him.,,CRS,0,0,,0.5,0,
,,,,,,lions,,,1
,,,,,,thieves,,,
,,,,,,monkeys,,,
,,,,,,goats,,,
,,,,,,fish,,,
,,,,,,,,,
SingleQuestion,We Christians should not be part of anything ________.,,CRS,0,0,,0.5,0,
,,,,,,good ,,,
,,,,,,fellowship,,,
,,,,,,evil,,,1
,,,,,,prayers,,,
,,,,,,sharing.,,,
,,,,,,,,,
SingleQuestion,The Princess of Egypt gave the child that was found in a basket by the river Nile the name ________.,,CRS,0,0,,0.5,0,
,,,,,,Samuel,,,
,,,,,,Joshua ,,,
,,,,,,Moses,,,1
,,,,,,Gideon,,,
,,,,,,Jesus,,,
,,,,,,,,,
SingleQuestion,Our needs are provided when we pray to _______.,,CRS,0,0,,0.5,0,
,,,,,,trees,,,
,,,,,,animals,,,
,,,,,,God,,,1
,,,,,,stones,,,
,,,,,,ancestors,,,
,,,,,,,,,
SingleQuestion,Mary became pregnant due to the power of the ____________ upon her.,,CRS,0,0,,0.5,0,
,,,,,,Holy Spirit,,,1
,,,,,,man,,,
,,,,,,her husband,,,
,,,,,,King Herod,,,
,,,,,,Apostle Paul,,,
,,,,,,,,,
SingleQuestion,An ______ of God appeared to Joseph in a dream and encouraged him not to put away Mary.,,CRS,0,0,,0.5,0,
,,,,,,Apostle,,,
,,,,,,Angel,,,1
,,,,,,Emperor,,,
,,,,,,Engineer,,,
,,,,,,Executive President,,,
,,,,,,,,,
SingleQuestion,"Before Jesus was born, Mary and Joseph travelled to __________ for a census.",,CRS,0,0,,0.5,0,
,,,,,,England,,,
,,,,,,Bethlehem,,,1
,,,,,,Cairo,,,
,,,,,,Mesopotamia,,,
,,,,,,Dubai,,,
,,,,,,,,,
SingleQuestion,The census was declared by Caesar ___.,,CRS,0,0,,0.5,0,
,,,,,,Daniel,,,
,,,,,,Meshach,,,
,,,,,,Augustus,,,1
,,,,,,Paul,,,
,,,,,,Peter,,,
,,,,,,,,,
SingleQuestion," After Jesus was born, he was laid in a ______.",,CRS,0,0,,0.5,0,
,,,,,,manger,,,1
,,,,,,hospital,,,
,,,,,,guest house,,,
,,,,,,king’s palace,,,
,,,,,,beautiful car,,,
,,,,,,,,,
SingleQuestion,"While the _____ watched their flock at night, they were informed of the birth of Jesus by an angel of God.",,CRS,0,0,,0.5,0,
,,,,,,security men,,,
,,,,,,sheep,,,
,,,,,,animals,,,
,,,,,,kings,,,
,,,,,,shepherds,,,1
,,,,,,,,,
SingleQuestion,The angel said: to you is born this day in the city of ____ a saviour who is Christ the Lord.,,CRS,0,0,,0.5,0,
,,,,,,David,,,1
,,,,,,Joshua,,,
,,,,,,Adam,,,
,,,,,,Jonah,,,
,,,,,,Jesse,,,
,,,,,,,,,
SingleQuestion,"After the shepherds visited and worshipped Jesus, wise men also came from the ______ to worship Jesus.",,CRS,0,0,,0.5,0,
,,,,,,East,,,1
,,,,,,West,,,
,,,,,,North,,,
,,,,,,South,,,
,,,,,,Heavens.,,,
